key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255760,BPX OPERATING COMPANY,BOSSIER,HA RA SU91;MITCHL14-23-26-35HC,001-ALT,2026-07-06,,01,PERMITTED
255761,BPX OPERATING COMPANY,BOSSIER,HA RA SU91;MITCHL14-23-26-35HC,002-ALT,2026-07-06,,01,PERMITTED
255762,BPX OPERATING COMPANY,SABINE,HA RA SUZ;WHIT CORP 19-30-31HC,002-ALT,2026-07-07,,01,PERMITTED
255763,BPX OPERATING COMPANY,SABINE,HA RA SUZ;WHIT CORP 19-30-31HC,003-ALT,2026-07-07,,01,PERMITTED
255764,BPX OPERATING COMPANY,SABINE,HA RA SUZ;WHIT CORP 19-30-31HC,004-ALT,2026-07-07,,01,PERMITTED
255765,BPX OPERATING COMPANY,SABINE,HA RA SUZ;WHIT CORP 19-30-31HC,005-ALT,2026-07-07,,01,PERMITTED
255766,"CHADCO, INC.",LA SALLE,MCCARTNEY,003,2026-07-08,,01,PERMITTED
255767,"SKRIVANOS ENGINEERING, INC.",AVOYELLES,BLACKSTONE 13 W,001,2026-07-10,,01,PERMITTED
255768,"CANTIUM, LLC",LAFOURCHE,SL 1365,098,2026-07-10,,01,PERMITTED
255769,"LLOX, L.L.C.",VERMILION,CRIS R-21000 RA SUA;GODCHAUX,001,2026-07-13,,01,PERMITTED
14523,KANSAS & GULF CO.,RED RIVER,NELSON,002,2031-02-15,,30,PLUGGED AND ABANDONED  NO PRODUCT SPECIFIED
255770,WAGNER OIL LOUISIANA,RAPIDES,WX RA SUA;REYES 36,001,2026-07-16,,01,PERMITTED
255771,"BURRITE OPERATING, LLC",IBERVILLE,WILBERT MINERAL GROUP LLC,012,2026-07-16,,01,PERMITTED
255772,ASHER GIDEON LLC,LA SALLE,SHIRLEY ETAL,004,2026-07-17,,01,PERMITTED
255773,"FORDOCHE OPERATING COMPANY, LLC",POINTE COUPEE,J O LONG ETAL,015,2026-07-16,,01,PERMITTED
255774,SIGNAL OPERATING L.L.C.,LA SALLE,MILLS,017,2026-07-16,,01,PERMITTED
255775,"BAY GAS, LLC",CONCORDIA,WEEKS NB,001,2026-07-17,,29,DRY AND PLUGGED  NO PRODUCT SPECIFIED
255776,"C.T.R. OIL, INC.",LA SALLE,TREMONT LBR CO,A-C-12,2026-07-17,,01,PERMITTED
